Item Type,Publication Year,Author,Title,Publication Title,Pages,Volume,First Author Last Name,First Author First Name
bookSection,2015,"Crooks, Andrew",Agent-based modeling and geographical information systems,Geocomputatlon: A Practical Primer,63-77,,Crooks,Andrew
bookSection,2012,"Crooks, Andrew T; Castle, Christian J E",The integration of agent-based modelling and geographical information for geospatial simulation,Agent-Based Models of Geographical Systems,219-251,,Crooks,Andrew T
bookSection,2012,"Crooks, Andrew T; Heppenstall, Allison J",Introduction to agent-based modelling,Agent-Based Models of Geographical Systems,85-105,,Crooks,Andrew T
journalArticle,2008,"Crooks, Andrew; Castle, Christian; Batty, Michael",Key challenges in agent-based modelling for geo-spatial simulation,"Computers, Environment and Urban Systems",417-430,32,Crooks,Andrew
journalArticle,2000,"Cropp, S; Boinski, S",The Central American squirrel monkey (Saimiri oerstedii): Introduced hybrid or endemic species?,Molecular Phylogenetics and Evolution,350-365,16,Cropp,S
journalArticle,2000,"Cropp, S; Boinski, S",A Central American squirrel monkey (Saimiri oerstedii): Introduced hybrid or endemic species,Molecular Phylogenetics and Evolution,350-365,16,Cropp,S
journalArticle,2002,"Cropp, S; Boinski, S; Li, W",Allelic variation in the squirrel monkey X-linked color vision gene: Biogeographical and behavioral correlates,Journal of Molecular Evolution,734-745,54,Cropp,S
journalArticle,1999,"Cropp, S; Larson, A; Cheverud, J","Historical biogeography of tamarins, genus Saguinus: The molecular phylogenetic evidence",American Journal of Physical Anthropology,65-89,108,Cropp,S
journalArticle,1998,"Cros, J; Combes, M C; Trouslot, P; Anthony, F; Hamon, S; Charrier, A; Lashermes, P",Phylogenetic analysis of chloroplast DNA variation in Coffea L,Molecular Phylogenetics and Evolution,109-117,9,Cros,J
journalArticle,2004,"Cross, N; Pines, M K; Rogers, L J",Saliva sampling to assess cortisol levels in unrestrained common marmosets and the effect of behavioral stress,American Journal of Primatology,107-114,62,Cross,N
journalArticle,1989,"Cross, Nicholas; Morales, Patricio; Fukuda, Masaru; Behboodi, Esmail",Determining acrosomal status of the cynomolgus monkey (Macaca fascicularis) sperm by fluorescence microscopy,American Journal of Primatology,157-163,17,Cross,Nicholas
journalArticle,2005,"Cross, P C; Lloyd-Smith, J; Getz, W M",Disentangling association patterns in fission–fusion societies using African buffalo as an example,Animal Behaviour,499-506,69,Cross,P C
journalArticle,2013,"Cross, Paul C; Caillaud, Damien; Heisey, Dennis M",Underestimating the effects of spatial heterogeneity due to individual movement and spatial scale: Infectious disease as an example,Landscape Ecology,247-257,28,Cross,Paul C
journalArticle,1996,"Crouau-Roy, B; Service, S; Slatkin, M; Freimer, N","A fine-scale comparison of the human and chimpanzee genomes: Linkage, linkage disequilibrium and sequence analysis",Human Molecular Genetics,1131-1137,5,Crouau-Roy,B
journalArticle,2000,"Crow, J F","The origins, patterns and implications of human spontaneous mutation",Nature Reviews Genetics,40-47,1,Crow,J F
journalArticle,1965,"Crow, JF; Kimura, M",Evolution in sexual and asexual populations,The American Naturalist,439-450,99,Crow,JF
journalArticle,1999,"Crow, T J","Review of ""Darwinian Psychiatry""",Trends In Ecology & Evolution,80-81,14,Crow,T J
journalArticle,1993,"Crow, T J","Sexual selection, Machiavellian intelligence, and the origins of psychosis",The Lancet,594-598,342,Crow,T J
journalArticle,1969,"Crowe, B",The tragedy of the commons revisited,Science,1103-1107,166,Crowe,B
journalArticle,2020,"Crowe, Jenny; Lumb, Felicity E; Doonan, James; Broussard, Margaux; Tarafdar, Anuradha; Pineda, Miguel A; Landabaso, Carmen; Mulvey, Lorna; Hoskisson, Paul A; Babayan, Simon A; Selman, Colin; Harnett, William; Harnett, Margaret M",The parasitic worm product ES-62 promotes health- and life-span in a high calorie diet-accelerated mouse model of ageing,PLOS Pathogens,e1008391,16,Crowe,Jenny
journalArticle,2011,"Crowley, Brooke E; Thorén, Sandra; Rasoazanabary, Emilienne; Vogel, Erin R; Barrett, Meredith A; Zohdy, Sarah; Blanco, Marina B; McGoogan, Keriann C; Arrigo-Nelson, Summer J; Irwin, Mitchell T; Wright, Patricia C; Radespiel, Ute; Godfrey, Laurie R; Koch, Paul L; Dominy, Nathaniel J",Explaining geographical variation in the isotope composition of mouse lemurs (Microcebus): Explaining geographical variation in mouse lemur isotope values,Journal of Biogeography,2106-2121,38,Crowley,Brooke E
journalArticle,2015,"Crowley, James J; Zhabotynsky, Vasyl; Sun, Wei; Huang, Shunping; Pakatci, Isa Kemal; Kim, Yunjung; Wang, Jeremy R; Morgan, Andrew P; Calaway, John D; Aylor, David L; Yun, Zaining; Bell, Timothy A; Buus, Ryan J; Calaway, Mark E; Didion, John P; Gooch, Terry J; Hansen, Stephanie D; Robinson, Nashiya N; Shaw, Ginger D; Spence, Jason S; Quackenbush, Corey R; Barrick, Cordelia J; Nonneman, Randal J; Kim, Kyungsu; Xenakis, James; Xie, Yuying; Valdar, William; Lenarcic, Alan B; Wang, Wei; Welsh, Catherine E; Fu, Chen-Ping; Zhang, Zhaojun; Holt, James; Guo, Zhishan; Threadgill, David W; Tarantino, Lisa M; Miller, Darla R; Zou, Fei; McMillan, Leonard; Sullivan, Patrick F; Pardo-Manuel de Villena, Fernando",Analyses of allele-specific gene expression in highly divergent mouse crosses identifies pervasive allelic imbalance,Nature Genetics,353-360,47,Crowley,James J
journalArticle,2007,"Crozier, Y Ching; Jia, Xiao Cheng; Yao, Jin Yan; Field, Ashley R; Cook, James M; Crozier, Ross H",Microsatellite primers for Ficus racemosa and Ficus rubiginosa,Molecular Ecology Notes,57-59,7,Crozier,Y Ching
journalArticle,2017,"Cruaud, Perrine; Vigneron, Adrien; Fradette, Marie-Stéphanie; Charette, Steve J; Rodriguez, Manuel J; Dorea, Caetano C; Culley, Alexander I",Open the Sterivex <sup>TM</sup> casing: An easy and effective way to improve DNA extraction yields,Limnology and Oceanography: Methods,1015-1020,15,Cruaud,Perrine
journalArticle,2000,"Crudgington, H","Genital damage, kicking and early death",Nature,855-856,407,Crudgington,H
journalArticle,1983,"Cruikshank, Wasserman",The relationship between time of feeding and aggression in a group of cative hamadryas baboons,Primates,432-435,24,Cruikshank,Wasserman
journalArticle,1988,"Crump, Martha L",Aggression in harlequin frogs: male-male competition and a possible conflict of interest between the sexes,Animal Behaviour,1064-1077,36,Crump,Martha L
bookSection,2021,"Crunchant, Anne-Sophie; Nakka, Chanakya Dev; Isaacs, Jason T; Piel, Alex K",Acoustic sensors,Conservation Technology,53-78,,Crunchant,Anne-Sophie
journalArticle,2020,"Crunchant, Anne‐Sophie; Borchers, David; Kühl, Hjalmar; Piel, Alex",Listening and watching: Do camera traps or acoustic sensors more efficiently detect wild chimpanzees in an open habitat?,Methods in Ecology and Evolution,542-552,11,Crunchant,Anne‐Sophie
journalArticle,2002,"Crutzen, Paul J",Geology of mankind,Nature,23–23,415,Crutzen,Paul J
journalArticle,1990,"Cruzan, M",Pollen-pollen and pollen-style interactions during pollen tube growth in Erythronium grandiflorum (Liliacae),American Journal of Botany,116-122,77,Cruzan,M
journalArticle,2010,"Csencsics, Daniela; Brodbeck, Sabine; Holderegger, Rolf","Cost-effective, species-specific microsatellite development for the endangered Dwarf Bulrush (Typha minima) using next-generation sequencing technology.",The Journal of heredity,789-793,101,Csencsics,Daniela
journalArticle,2006,"Csilléry, Katalin; Johnson, Toby; Beraldi, Dario; Clutton-Brock, Tim; Coltman, Dave; Hansson, Bengt; Spong, Goran; Pemberton, Josephine",Performance of marker-based relatedness estimators in natural populations of outbred vertebrates,Genetics,2091-2101,173,Csilléry,Katalin
journalArticle,2022,"Csillik, Ovidiu; Reiche, Johannes; De Sy, Veronique; Araza, Arnan; Herold, Martin",Rapid remote monitoring reveals spatial and temporal hotspots of carbon loss in Africa’s rainforests,Communications Earth & Environment,48,3,Csillik,Ovidiu
journalArticle,2005,"Csuros, M",Likely scenarios of intron evolution,Lecture Notes in Computer Science,47,3678,Csuros,M
journalArticle,1997,"Cuarón, A",Conspecific aggression and predation: Costs for a solitary mantled howler monkey,Folia Primatologica,100-105,68,Cuarón,A
journalArticle,1976,"Cubiccoitti III, D; Mason, W A",Comparative studies of social behavior in Callicebus and Saimiri: Male-female emotional attachments,Behavioral Biology,185-197,16,Cubiccoitti III,D
journalArticle,1998,"Cueva, Rubén; Ortiz, Aída; Jorgenson, Jeffrey P","Cacería de fauna silvestre en el área de amortiguamiento del Parque Nacional Yasuní, Amazonía Ecuatoriana",Memorias: Manejo de Fauna silvestre en Amazonia y Latinoamérica,524–539,,Cueva,Rubén
journalArticle,2003,"Cui, Liwang; Escalante, Ananias; Imwong, Mallika; Snounou, Georges",The genetic diversity of Plasmodium vivax populations,Trends in Parasitology,220-226,19,Cui,Liwang
journalArticle,2021,"Cui, Yapeng; Ni, Shunjiang; Shen, Shifei",A network-based model to explore the role of testing in the epidemiological control of the COVID-19 pandemic,BMC Infectious Diseases,58,21,Cui,Yapeng
journalArticle,2021,"Cullen, Joshua A; Poli, Caroline L; Fletcher, Robert J; Valle, Denis","Identifying latent behavioural states in animal movement with M4, a nonparametric Bayesian method",Methods in Ecology and Evolution,2041-210X.13745,,Cullen,Joshua A
journalArticle,2012,"Culleton, Richard; Carter, Richard",African Plasmodium vivax: Distribution and origins,International Journal for Parasitology,1091-1097,42,Culleton,Richard
journalArticle,1992,"Cullings, K W",Design and testing of a plant-specific PCR primer for ecological and evolutionary studies,Molecular Ecology,233-240,1,Cullings,K W
journalArticle,2020,"Culman, María; Delalieux, Stephanie; Van Tricht, Kristof",Individual palm tree detection using deep learning on RGB imagery to support tree inventory,Remote Sensing,3476,12,Culman,María
journalArticle,2018,"Culot, Laurence; Huynen, Marie-Claude; Heymann, Eckhard W",Primates and dung beetles: Two dispersers are better than one in secondary forest,International Journal of Primatology,397-414,39,Culot,Laurence
journalArticle,2011,"Culot, Laurence; Lledo-Ferrer, Yvan; Hoelscher, Oda; Muñoz Lazo, Fernando J J; Huynen, Marie-Claude; Heymann, Eckhard W","Reproductive failure, possible maternal infanticide, and cannibalism in wild moustached tamarins, <i>Saguinus mystax</i>",Primates,179-186,52,Culot,Laurence
journalArticle,1992,"Culotta, E",A new take on Anthropoid origins,Science,1516-1517,256,Culotta,E
journalArticle,1995,"Culotta, E",Many Suspects to Blame in Madagascar Extinctions,Science,1568-1569,268,Culotta,E
journalArticle,2000,"Cummings, Christopher; Zoghbi, Huda",Fourteen and counting: Unraveling trinucleotide repeat diseases,Human Molecular Genetics,909-916,9,Cummings,Christopher
journalArticle,2000,"Cummings, Craig A; Relman, David A",Using DNA microarrays to study host-microbe interactions,Emerging Infectious Diseases,513-525,6,Cummings,Craig A
bookSection,2002,"Cummings, Leda M; Rathore, Dharmendar; McCutchan, Thomas F",Construction of genomic libraries from the DNA of <i>Plasmodium</i> species,Malaria Methods and Protocols,241-252,72,Cummings,Leda M
journalArticle,2003,"Cummings, Michael; Nugent, Jacqueline; Olmstead, Richard; Palmer, Jeffrey",Phylogenetic analysis reveals five independent transfers of the chloroplast gene rbcL to the mitochondrial genome in angiosperms,Current Genetics,131-138,43,Cummings,Michael
journalArticle,2015,"Cummings, Molly E","The mate choice mind: studying mate preference, aversion and social cognition in the female poeciliid brain",Animal Behaviour,249-258,103,Cummings,Molly E
journalArticle,2005,"Cummins-Sebree, SE; Fragaszy, DM",Choosing and using tools: Capuchins (Cebus apella) use a different metric than tamarins (Saguinus oedipus),Journal of Comparative Psychology,210-219,119,Cummins-Sebree,SE
journalArticle,2020,"Cummins, Kevin M; Marks, Charles",Farewell to Bright-Line: A Guide to Reporting Quantitative Results Without the S-Word,Frontiers in Psychology,815,11,Cummins,Kevin M
journalArticle,1976,"Cummins, Mark S; Suomi, Stephen J",Long-term effects of social rehabilitation in rhesus monkeys,Primates,43–51,17,Cummins,Mark S
bookSection,2017,"Cunha, Cheston B; Cunha, Burke A",Fever of Unknown Origin (FUO),Infectious Diseases,611-624.e2,,Cunha,Cheston B
journalArticle,2016,"Cunhaalmeida, Francisca; Giannini, Norberto Pedro; Simmons, Nancy B",The evolutionary history of the African fruit bats (Chiroptera: Pteropodidae),Acta Chiropterologica,73-90,18,Cunhaalmeida,Francisca
journalArticle,2016,"Cunliffe, Vincent T",The epigenetic impacts of social stress: How does social adversity become biologically embedded?,Epigenomics,1653-1669,8,Cunliffe,Vincent T
journalArticle,2000,"Cunningha, E",Egg investment is influenced by male attractiveness in the mallard,Nature,74-76,404,Cunningha,E
journalArticle,1996,"Cunningham, AA",Disease risks of wildlife translocations,Conservation Biology,349-353,,Cunningham,AA
journalArticle,1998,"Cunningham, E J A; Birkhead, T R",Sex roles and sexual selection,Animal Behaviour,1311-1321,56,Cunningham,E J A
journalArticle,2003,"Cunningham, E; Janson, C",Effect of fruit scarcity on use of memory,American Journal of Physical Anthropology,82,Supplement 36,Cunningham,E
journalArticle,2002,"Cunningham, E; Swartz, K; Janson, C",Experimental evidence of long-term memory for resource locations in <i>Pithecia pithecia</i>,American Journal of Physical Anthropology,59,Supplement 34,Cunningham,E
journalArticle,2006,"Cunningham, Elena P; Janson, Charles H",Pithecia pithecia's behavioral response to decreasing fruit abundance,American Journal of Primatology,491-497,68,Cunningham,Elena P
journalArticle,2015,"Cunningham, Elena P; Unwin, Steve; Setchell, Joanna M",Darting primates in the field: A review of reporting trends and a survey of practices and their effect on the primates involved,International Journal of Primatology,911-932,36,Cunningham,Elena P
journalArticle,2007,"Cunningham, Elena; Janson, Charles",Integrating information about location and value of resources by white-faced saki monkeys (Pithecia pithecia),Animal Cognition,293-304,10,Cunningham,Elena
journalArticle,2007,"Cunningham, Elena; Janson, Charles","A socioecological perspective on primate cognition, past and present",Animal Cognition,273-281,10,Cunningham,Elena
journalArticle,1986,"Cunningham, Michael R",Measuring the physical in physical attractiveness: Quasi-experiments on the sociobiology of female facial beauty.,Journal of Personality and Social Psychology,925-935,50,Cunningham,Michael R
journalArticle,2001,"Cunninghman, E; Janson, C",Effect of small home range size on use of memory,American Journal of Physical Anthropology,56,Supplement 32,Cunninghman,E
journalArticle,1978,"Curio, E",The adaptive significance of avian mobbing: I. teleonomic hypothesis and predictions,Zeitschrift für Tierpsychologie,175-183,48,Curio,E
journalArticle,2005,"Curley, JP; Keverne, EB","Genes, brains and mammalian social bonds",Trends In Ecology & Evolution,561-567,20,Curley,JP
journalArticle,2012,"Curnoe, Darren; Xueping, Ji; Herries, Andy I R; Kanning, Bai; Taçon, Paul S C; Zhende, Bao; Fink, David; Yunsheng, Zhu; Hellstrom, John; Yun, Luo; Cassis, Gerasimos; Bing, Su; Wroe, Stephen; Shi, Hong; Parr, William C H; Shengmin, Huang; Rogers, Natalie",Human Remains from the Pleistocene-Holocene Transition of Southwest China Suggest a Complex Evolutionary History for East Asians,PLoS ONE,e31918,7,Curnoe,Darren
journalArticle,2004,"Currat, M; Ray, N; Excoffier, L",SPLATCHE: a program to simulate genetic diversity taking into account environmental heterogeneity,Molecular Ecology Notes,139-142,4,Currat,M
journalArticle,2002,"Currat, M; Trabuchet, G; Rees, D; Perrin, P; Harding, R; Clegg, J; Langaney, A; Excoffier, L",Molecular analysis of the ß-globin gene cluster in the Niokholo Mandenka population reveals a recent origin of the ßS Senegal mutation,American Journal of Human Genetics,207-223,70,Currat,M
journalArticle,2004,"Currat, Mathias; Excoffier, Laurent",Modern humans did not admix with Neanderthals during their range expansion into Europe,PLoS Biology,e421,2,Currat,Mathias
journalArticle,2022,"Curry, Kristen D; Wang, Qi; Nute, Michael G; Tyshaieva, Alona; Reeves, Elizabeth; Soriano, Sirena; Wu, Qinglong; Graeber, Enid; Finzer, Patrick; Mendling, Werner; Savidge, Tor; Villapol, Sonia; Dilthey, Alexander; Treangen, Todd J",Emu: species-level microbial community profiling of full-length 16S rRNA Oxford Nanopore sequencing data,Nature Methods,845-853,19,Curry,Kristen D
journalArticle,1988,"Curry, Robert L","Group structure, within-group conflict and reproductive tactics in cooperatively breeding Galápagos mockingbirds, Nesomimus parvulus",Animal Behaviour,1708-1728,36,Curry,Robert L
journalArticle,2021,"Curtin, Lorelei; D’Andrea, William J; Balascio, Nicholas L; Shirazi, Sabrina; Shapiro, Beth; de Wet, Gregory A; Bradley, Raymond S; Bakke, Jostein",Sedimentary DNA and molecular evidence for early human occupation of the Faroe Islands,Communications Earth & Environment,253,2,Curtin,Lorelei
journalArticle,2002,"Curtis, D",Cathemerality in lemurs,Evolutionary Anthropology,83-86,11,Curtis,D
journalArticle,1999,"Curtis, D J; Zaramody, A",Social structure and seasonal variation in the behaviour of Eulemur mongoz,Folia Primatologica,79-96,70,Curtis,D J
journalArticle,2004,"Curtis, Deborah J",Diet and nutrition in wild mongoose lemurs (Eulemur mongoz) and their implications for the evolution of female dominance and small group size in lemurs,American Journal of Physical Anthropology,234-247,124,Curtis,Deborah J
journalArticle,1998,"Curtis, DJ; Velo, A; Raheliarisoa, EO; Zaramody, A; Müller, P","Surveys on Propithecus verreauxi deckeni, a melanistic variant, and P. v. coronatus in north-west Madagascar",Oryx,157-164,32,Curtis,DJ
journalArticle,2014,"Curtis, Valerie A",Infection-avoidance behaviour in humans and other animals,Trends in Immunology,457-464,35,Curtis,Valerie A
journalArticle,2001,"Curtis, Valerie; Biran, Adam","Dirt, disgust, and disease: is hygiene in our genes?",Perspectives in Biology and Medicine,17-31,44,Curtis,Valerie
journalArticle,2011,"Curtis, Valerie; De Barra, Mícheál; Aunger, Robert",Disgust as an adaptive system for disease avoidance behaviour,Philosophical Transactions of the Royal Society B: Biological Sciences,389-401,366,Curtis,Valerie
journalArticle,2010,"Cushman, SA; Landguth, EL",Spurious correlations and inference in landscape genetics,Molecular Ecology,3592-3602,19,Cushman,SA
journalArticle,2010,"Cushman, Samuel A; Landguth, Erin L",Scale dependent inference in landscape genetics,Landscape Ecology,967-979,25,Cushman,Samuel A
journalArticle,2006,"Cushman, Samuel A; McKelvey, Kevin S; Hayden, Jim; Schwartz, Michael K",Gene flow in complex landscapes: Testing multiple hypotheses with causal modeling,The American Naturalist,486-499,168,Cushman,Samuel A
journalArticle,2013,"Cushman, Samuel A; Shirk, Andrew J; Landguth, Erin L",Landscape genetics and limiting factors,Conservation Genetics,263-274,14,Cushman,Samuel A
journalArticle,2013,"Cushman, Samuel; Wasserman, Tzeidle; Landguth, Erin; Shirk, Andrew",Re-evaluating causal modeling with Mantel tests in landscape genetics,Diversity,51-72,5,Cushman,Samuel
journalArticle,2010,"Cusimano, N; Renner, SS",Slowdowns in diversification rates from real phylogenies may not be real,Systematic Biology,458-464,59,Cusimano,N
journalArticle,2020,"Custred, Glynn","An Anthropology for Our Time: <i>Gods of the Upper Air: How a Circle of Renegade Anthropologists Reinvented Race, Sex and Gender in the Twentieth Century</i>, Charles King, Doubleday, 2019, 448 pp., $20.99 Hardcover.",Academic Questions,141-147,33,Custred,Glynn
journalArticle,1991,"CUTHILL, I",Field experiments in animal behavior: methods and ethics,Animal Behaviour,1007-1014,42,CUTHILL,I
journalArticle,1991,"Cuthill, Innes",Field experiments in animal behaviour: methods and ethics,Animal Behaviour,1007-1014,42,Cuthill,Innes
journalArticle,1990,"Cuthill, Innes; Guilford, Tim",Perceived risk and obstacle avoidance in flying birds,Animal Behaviour,188-190,40,Cuthill,Innes
journalArticle,1990,"Cuthill, Innes; Kacelnik, Alejandro",Central place foraging: A reappraisal of the 'loading effect',Animal Behaviour,1087-1101,40,Cuthill,Innes
journalArticle,1990,"Cuthill, Innes; Kacelnik, Alejandro; Krebs, John; Haccou, Patsy; Iwasa, Yoh",Starlings exploiting patches: the effect of recent experience on foraging decisions,Animal Behaviour,625-640,40,Cuthill,Innes
journalArticle,2001,"Cutler, D J; Zwick, Michael E; Carrasquillo, M M; Yohn, C T; Tobin, K P; Kashuk, C; Mathews, D J; Shah, N A; Eichler, Evan E; Warrington, J A; Chakravarti, A",High-throughput variation detection and genotyping using microarrays,Genome Research,1913-1925,11,Cutler,D J
journalArticle,2013,"Cutter, Asher D","Integrating phylogenetics, phylogeography and population genetics through genomes and evolutionary theory",Molecular Phylogenetics and Evolution,1172-1185,69,Cutter,Asher D
journalArticle,2012,"Cutter, Asher D",The polymorphic prelude to Bateson–Dobzhansky–Muller incompatibilities,Trends in Ecology & Evolution,209-218,27,Cutter,Asher D
journalArticle,1977,"Czaja, J A; Robinson, J A; Eisele, S G; Scheffler, G; Goy, R W",Relationship between sexual skin colour of female rhesus monkeys and midcycle plasma levels of oestradiol and progesterone,Reproduction,147-150,49,Czaja,J A
journalArticle,1975,"Czaja, John A; Bielert, Craig",Female rhesus sexual behavior and distance to a male partner: Relation to stage of the menstrual cycle,Archives of Sexual Behavior,583-597,4,Czaja,John A
journalArticle,2004,"Czárán, Tamás L; Hoekstra, Rolf F",The evolution of sexual asymmetry,BMC Evolutionary Biology,34,4,Czárán,Tamás L
journalArticle,1991,"Czekala, N; Reichard, T; Lasley, B",Assessment of luteal competency by urinary hormone evaluation in the captive female gorilla,American Journal of Primatology,283-288,24,Czekala,N
journalArticle,2000,"Czekala, N; Sicotte, P",Reproductive monitoring of free-ranging female mountain gorillas by urinary hormone analysis,American Journal of Primatology,209-215,51,Czekala,N
journalArticle,1993,"D Amato, F",Effect of familiarity with the mother and kinship on infanticidal and alloparental behavior in virgin house mice,Behavior,313-326,124,D Amato,F
journalArticle,2002,"D'Agnese, J",An embarrassment of chimpanzees,Discovery,42-49,23,D'Agnese,J
journalArticle,1991,"D'amato, Francesca",Courtship ultrasonic vocalizations and social status in mice,Animal Behaviour,875-885,41,D'amato,Francesca
journalArticle,1988,"D'Amato, M; Colombo, M",Representation of serial order in monkeys (Cebus apella),Journal of Experimental Psychology: Animal Behavior Processes,131-139,14,D'Amato,M
journalArticle,2020,"D’Andrea, Rafael; Guittar, John; O’Dwyer, James P; Figueroa, Hector; Wright, S J; Condit, Richard; Ostling, Annette",Counting niches: Abundance‐by‐trait patterns reveal niche partitioning in a Neotropical forest,Ecology,e03019,101,D’Andrea,Rafael
journalArticle,2019,"D’Andrea, Rafael; Riolo, Maria; Ostling, Annette M",Generalizing clusters of similar species as a signature of coexistence under competition,PLOS Computational Biology,e1006688,15,D’Andrea,Rafael
journalArticle,2021,"D’Andreano, Sara; Cuscó, Anna; Francino, Olga",Rapid and real-time identification of fungi up to species level with long amplicon nanopore sequencing from clinical samples,Biology Methods and Protocols,bpaa026,6,D’Andreano,Sara
journalArticle,1983,"D'Emilio, John",Capitalism and gay identity,The Lesbian and Gar Studies Reader,467-476,Chapter 31,D'Emilio,John
journalArticle,2020,"d’Oliveira, Marcus; Broadbent, Eben; Oliveira, Luis; Almeida, Danilo; Papa, Daniel; Ferreira, Manuel; Zambrano, Angelica; Silva, Carlos; Avino, Felipe; Prata, Gabriel; Mello, Ricardo; Figueiredo, Evandro; Jorge, Lúcio; Junior, Leomar; Albuquerque, Rafael; Brancalion, Pedro; Wilkinson, Ben; Oliveira-da-Costa, Marcelo","Aboveground biomass estimation in Amazonian tropical forests: A comparison of aircraft- and GatorEye UAV-borne LiDAR data in the Chico Mendes extractive reserve in Acre, Brazil",Remote Sensing,1754,12,d’Oliveira,Marcus
journalArticle,2007,"da Cunha, Rog eacute rio Grassetto Teixeira; Jalles-Filho, Euphly",The Roaring of Southern Brown Howler Monkeys (Alouatta guariba clamitans) as a Mechanism of Active Defence of Borders,Folia Primatologica,259-271,78,da Cunha,Rog eacute rio Grassetto Teixeira
journalArticle,1985,"da Fonseca, G",Observations on the ecology of the muriqui (Brachyteles arachnoides E. Geoffroy 1806): Implications for its conservation,Primate Conservation,48-52,5,da Fonseca,G
journalArticle,1986,"da Fonseca, G; de Mello, M",Observações sobre a ecologia do mono carvoeiro ou muriquí (Brachyteles arachnoides) e sugestões para sua conservação,A Primatologia no Brasil,177-183,2,da Fonseca,G
journalArticle,2020,"da Silva Carvalho, Carolina; García, Cristina; Lucas, Marília Souza; Jordano, Pedro; Côrtes, Marina Corrêa","Extant fruit‐eating birds promote genetically diverse seed rain, but disperse to fewer sites in defaunated tropical forests",Journal of Ecology,1365-2745.13534,,da Silva Carvalho,Carolina
journalArticle,1981,"da Silva, E","A preliminary survey of brown howler monkeys (Alouatta fusca) at the Catareira Reserve, São Paulo, Brazil",Revista Brasileira de Biologia,897-909,41,da Silva,E
journalArticle,2005,"da Silva, Graziela Valença; Zaganini, Rosângela Lopes; Lucindo, Anderson","Hugo Medeiros Garrido de Paula, Renata Souza Távora, Marcos Vinícius de Almeida, Larissa Sbeghen Pelegrini",Neotropical Primates,11,13,da Silva,Graziela Valença
journalArticle,1988,"Da Silva, J; Terhune, JM",Harbour seal grouping as an anti-predator strategy,Animal Behaviour,1309-1316,36,Da Silva,J
journalArticle,1994,"da Silva, JMC",Can avian distribution patterns in northern Argentina be related to gallery-forest expansion-retraction caused by Quaternary climatic changes?,The Auk,495-499,111,da Silva,JMC
journalArticle,2005,"da Silva, JMC; Rylands, AB; da Fonseca, GAB",The fate of the Amazonian areas of endemism,Conservation Biology,689-694,19,da Silva,JMC
journalArticle,1996,"da Silva, JOSÉ; Oren, CONWAY",Application of parsimony analysis of endemicity in Amazonian biogeography: An example with primates,Biological Journal of the Linnean Society,427-437,59,da Silva,JOSÉ
journalArticle,1998,"da Silva, M; Patton, J",Molecular phylogeography and the evolution and conservation of Amazonian mammals,Molecular Ecology,475-486,7,da Silva,M
journalArticle,2005,"Da Silva, Maria NF; Shepard Jr, Glenn H; Yu, Douglas W",Conservation implications of primate hunting practices among the Matsigenka of Manu National Park,Neotropical Primates,31–36,13,Da Silva,Maria NF
journalArticle,1998,"Dabbs, JM; Chang, EL; Strong, RA; Milun, R","Spatial ability, navigation strategy, and geographic knowledge among men and women",Evolution and Human Behavior,89-98,19,Dabbs,JM
journalArticle,2011,"Dacier, A; de Luna, AG; Fernandez-Duque, E; Di Fiore, A",Estimating population density of Amazonian titi monkeys (<i>Callicebus discolor</i>) via playback point counts,Biotropica,135-140,43,Dacier,A
journalArticle,2016,"DaCosta, Jeffrey M; Sorenson, Michael D","ddRAD-seq phylogenetics based on nucleotide, indel, and presence–absence polymorphisms: Analyses of two avian genera with contrasting histories",Molecular Phylogenetics and Evolution,122-135,94,DaCosta,Jeffrey M
journalArticle,1999,"Dagg, A",Infanticde by Male Lions Hypothesis: A FAllacy Influencing Research into Human Behavior,American Anthropologist,940-950,100,Dagg,A
journalArticle,1987,"Dahl, J",Sexual initiation in a captive group of pygmy chimpanzees (Pan paniscus),Primate Report,43-53,16,Dahl,J
journalArticle,1986,"Dahl, J",Cyclic Perineal Swelling during the Instrumental Intervals of Captive Female Pygmy Chimpanzees (Pan paniscus),Journal of Human Evolution,369-385,15,Dahl,J
journalArticle,1985,"Dahl, J",The external genitalia of female pygmy chimpanzees,The Anatomical Record,24-28,211,Dahl,J
journalArticle,1986,"Dahl, J",Cyclic perineal swelling during the intermenstrual intervals of captive female pygmy chimpanzees (Pan paniscus),Journal of Human Evolution,369-385,15,Dahl,J
journalArticle,1991,"Dahl, Jeremy; Nadler, Ronald; Collins, Delwood",Monitoring the ovarian cycles of Pan troglodytes and P. paniscus: A comparative approach,American Journal of Primatology,195-209,24,Dahl,Jeremy
journalArticle,1999,"Dainton, M",Did knuckle walking evolve twice?,Journal of Human Evolution,171-194,36,Dainton,M
journalArticle,2006,"Dajun, Wang; Sheng, Li; McShea, William J; Fu, Li Ming","Use of Remote-Trip Cameras for Wildlife Surveys and Evaluating the Effectiveness of Conservation Activities at a Nature Reserve in Sichuan Province, China",Environmental Management,942-951,38,Dajun,Wang
journalArticle,2004,"Dakin, E E; Avise, J C",Microsatellite null alleles in parentage analysis,Heredity,504-509,93,Dakin,E E
